stop_id,route_id,route_short_name,route_long_name
1001,3045,6,ABERDEEN
1002,3045,6,ABERDEEN
1003,3045,6,ABERDEEN
1004,3045,6,ABERDEEN
1005,3045,6,ABERDEEN
1006,3045,6,ABERDEEN
1007,3045,6,ABERDEEN
1008,3045,6,ABERDEEN
1009,3045,6,ABERDEEN
1010,3045,6,ABERDEEN
1011,3045,6,ABERDEEN
1012,3045,6,ABERDEEN
1013,3045,6,ABERDEEN
1014,3045,6,ABERDEEN
1015,3045,6,ABERDEEN
1017,3052,16,ANCASTER
1018,3052,16,ANCASTER
1019,3052,16,ANCASTER
1020,3052,16,ANCASTER
1021,3052,16,ANCASTER
1022,3052,16,ANCASTER
1023,3052,16,ANCASTER
1024,3052,16,ANCASTER
1025,3052,16,ANCASTER
1026,3056,22,UPPER OTTAWA
1027,3052,16,ANCASTER
1028,3056,22,UPPER OTTAWA
1028,3061,27,UPPER JAMES
1029,3057,23,UPPER GAGE
1029,3058,24,UPPER SHERMAN
1029,3059,25,UPPER WENTWORTH
1029,3060,26,UPPER WELLINGTON
1030,3056,22,UPPER OTTAWA
1030,3061,27,UPPER JAMES
1031,3057,23,UPPER GAGE
1031,3058,24,UPPER SHERMAN
1031,3059,25,UPPER WENTWORTH
1031,3060,26,UPPER WELLINGTON
1032,3070,55,STONEY CREEK CENTRAL
1033,3070,55,STONEY CREEK CENTRAL
1034,3070,55,STONEY CREEK CENTRAL
1035,3070,55,STONEY CREEK CENTRAL
1036,3045,6,ABERDEEN
1037,3045,6,ABERDEEN
1038,3041,2,BARTON
1040,3041,2,BARTON
1041,3041,2,BARTON
1042,3041,2,BARTON
1043,3041,2,BARTON
1044,3041,2,BARTON
1045,3041,2,BARTON
1046,3041,2,BARTON
1047,3041,2,BARTON
1048,3070,55,STONEY CREEK CENTRAL
1050,3041,2,BARTON
1051,3041,2,BARTON
1052,3041,2,BARTON
1053,3041,2,BARTON
1054,3041,2,BARTON
1055,3041,2,BARTON
1056,3041,2,BARTON
1057,3041,2,BARTON
1058,3041,2,BARTON
1059,3041,2,BARTON
1060,3041,2,BARTON
1061,3041,2,BARTON
1062,3041,2,BARTON
1063,3041,2,BARTON
1064,3041,2,BARTON
1065,3041,2,BARTON
1066,3041,2,BARTON
1067,3041,2,BARTON
1068,3041,2,BARTON
1069,3041,2,BARTON
1070,3041,2,BARTON
1071,3041,2,BARTON
1072,3041,2,BARTON
1073,3041,2,BARTON
1074,3041,2,BARTON
1075,3070,55,STONEY CREEK CENTRAL
1076,3070,55,STONEY CREEK CENTRAL
1077,3041,2,BARTON
1078,3041,2,BARTON
1079,3041,2,BARTON
1081,3041,2,BARTON
1082,3041,2,BARTON
1083,3041,2,BARTON
1084,3041,2,BARTON
1085,3041,2,BARTON
1086,3041,2,BARTON
1087,3041,2,BARTON
1088,3041,2,BARTON
1089,3041,2,BARTON
1091,3041,2,BARTON
1092,3041,2,BARTON
1093,3041,2,BARTON
1094,3041,2,BARTON
1095,3041,2,BARTON
1096,3041,2,BARTON
1096,3144,4,BAYFRONT
1097,3041,2,BARTON
1097,3144,4,BAYFRONT
1098,3041,2,BARTON
1099,3041,2,BARTON
1101,3041,2,BARTON
1102,3041,2,BARTON
1103,3041,2,BARTON
1104,3041,2,BARTON
1105,3041,2,BARTON
1106,3041,2,BARTON
1107,3041,2,BARTON
1108,3041,2,BARTON
1109,3041,2,BARTON
1110,3041,2,BARTON
1111,3041,2,BARTON
1112,3041,2,BARTON
1113,3041,2,BARTON
1114,3041,2,BARTON
1115,3041,2,BARTON
1115,3144,4,BAYFRONT
1116,3041,2,BARTON
1117,3041,2,BARTON
1118,3041,2,BARTON
1120,3041,2,BARTON
1121,3041,2,BARTON
1121,3144,4,BAYFRONT
1122,3041,2,BARTON
1122,3144,4,BAYFRONT
1124,3041,2,BARTON
1125,3041,2,BARTON
1126,3041,2,BARTON
1127,3041,2,BARTON
1128,3070,55,STONEY CREEK CENTRAL
1129,3070,55,STONEY CREEK CENTRAL
1130,3070,55,STONEY CREEK CENTRAL
1131,3070,55,STONEY CREEK CENTRAL
1132,3070,55,STONEY CREEK CENTRAL
1133,3070,55,STONEY CREEK CENTRAL
1135,3070,55,STONEY CREEK CENTRAL
1136,3070,55,STONEY CREEK CENTRAL
1137,3070,55,STONEY CREEK CENTRAL
1138,3070,55,STONEY CREEK CENTRAL
1139,3070,55,STONEY CREEK CENTRAL
1140,3070,55,STONEY CREEK CENTRAL
1141,3070,55,STONEY CREEK CENTRAL
1142,3070,55,STONEY CREEK CENTRAL
1143,3070,55,STONEY CREEK CENTRAL
1144,3070,55,STONEY CREEK CENTRAL
1145,3070,55,STONEY CREEK CENTRAL
1146,3070,55,STONEY CREEK CENTRAL
1147,3046,7,LOCKE
1149,3047,8,YORK
1150,3050,11,PARKDALE
1151,3050,11,PARKDALE
1152,3050,11,PARKDALE
1153,3050,11,PARKDALE
1154,3050,11,PARKDALE
1155,3050,11,PARKDALE
1156,3050,11,PARKDALE
1157,3050,11,PARKDALE
1158,3050,11,PARKDALE
1159,3050,11,PARKDALE
1160,3050,11,PARKDALE
1161,3050,11,PARKDALE
1162,3050,11,PARKDALE
1163,3050,11,PARKDALE
1164,3050,11,PARKDALE
1165,3050,11,PARKDALE
1166,3050,11,PARKDALE
1167,3050,11,PARKDALE
1168,3050,11,PARKDALE
1169,3050,11,PARKDALE
1170,3050,11,PARKDALE
1171,3050,11,PARKDALE
1172,3050,11,PARKDALE
1173,3050,11,PARKDALE
1174,3050,11,PARKDALE
1175,3065,41,MOHAWK
1175,3144,4,BAYFRONT
1176,3144,4,BAYFRONT
1177,3065,41,MOHAWK
1178,3065,41,MOHAWK
1179,3065,41,MOHAWK
1180,3065,41,MOHAWK
1180,3144,4,BAYFRONT
1181,3065,41,MOHAWK
1182,3042,3,CANNON
1184,3045,6,ABERDEEN
1185,3044,5,DELAWARE
1189,3042,3,CANNON
1190,3042,3,CANNON
1191,3042,3,CANNON
1192,3042,3,CANNON
1193,3042,3,CANNON
1196,3144,4,BAYFRONT
1197,3144,4,BAYFRONT
1198,3144,4,BAYFRONT
1199,3144,4,BAYFRONT
1200,3144,4,BAYFRONT
1201,3144,4,BAYFRONT
1202,3144,4,BAYFRONT
1203,3144,4,BAYFRONT
1204,3144,4,BAYFRONT
1205,3065,41,MOHAWK
1205,3144,4,BAYFRONT
1206,3144,4,BAYFRONT
1207,3144,4,BAYFRONT
1208,3144,4,BAYFRONT
1209,3144,4,BAYFRONT
1210,3144,4,BAYFRONT
1211,3144,4,BAYFRONT
1212,3144,4,BAYFRONT
1213,3144,4,BAYFRONT
1214,3144,4,BAYFRONT
1215,3144,4,BAYFRONT
1216,3144,4,BAYFRONT
1217,3144,4,BAYFRONT
1218,3144,4,BAYFRONT
1219,3144,4,BAYFRONT
1220,3144,4,BAYFRONT
1221,3144,4,BAYFRONT
1222,3144,4,BAYFRONT
1223,3144,4,BAYFRONT
1224,3144,4,BAYFRONT
1225,3144,4,BAYFRONT
1226,3144,4,BAYFRONT
1227,3065,41,MOHAWK
1227,3144,4,BAYFRONT
1228,3144,4,BAYFRONT
1229,3144,4,BAYFRONT
1230,3144,4,BAYFRONT
1231,3051,12,WENTWORTH
1231,3144,4,BAYFRONT
1232,3144,4,BAYFRONT
1233,3144,4,BAYFRONT
1234,3144,4,BAYFRONT
1235,3051,12,WENTWORTH
1235,3144,4,BAYFRONT
1236,3144,4,BAYFRONT
1237,3144,4,BAYFRONT
1238,3144,4,BAYFRONT
1239,3051,12,WENTWORTH
1239,3144,4,BAYFRONT
1242,3050,11,PARKDALE
1243,3050,11,PARKDALE
1245,3042,3,CANNON
1246,3042,3,CANNON
1247,3042,3,CANNON
1248,3042,3,CANNON
1249,3042,3,CANNON
1250,3042,3,CANNON
1251,3042,3,CANNON
1252,3042,3,CANNON
1253,3042,3,CANNON
1254,3042,3,CANNON
1255,3042,3,CANNON
1256,3042,3,CANNON
1257,3042,3,CANNON
1258,3042,3,CANNON
1259,3042,3,CANNON
1260,3042,3,CANNON
1261,3042,3,CANNON
1262,3042,3,CANNON
1263,3042,3,CANNON
1264,3047,8,YORK
1265,3042,3,CANNON
1266,3042,3,CANNON
1267,3042,3,CANNON
1268,3042,3,CANNON
1269,3042,3,CANNON
1271,3042,3,CANNON
1272,3042,3,CANNON
1273,3042,3,CANNON
1274,3042,3,CANNON
1275,3042,3,CANNON
1276,3042,3,CANNON
1277,3042,3,CANNON
1278,3042,3,CANNON
1279,3067,44,RYMAL
1279,3072,58,STONEY CREEK LOCAL
1280,3071,56,CENTENNIAL
1281,3071,56,CENTENNIAL
1282,3071,56,CENTENNIAL
1283,3071,56,CENTENNIAL
1284,3071,56,CENTENNIAL
1285,3071,56,CENTENNIAL
1286,3071,56,CENTENNIAL
1287,3067,44,RYMAL
1287,3072,58,STONEY CREEK LOCAL
1288,3067,44,RYMAL
1288,3072,58,STONEY CREEK LOCAL
1290,3071,56,CENTENNIAL
1292,3067,44,RYMAL
1292,3072,58,STONEY CREEK LOCAL
1293,3067,44,RYMAL
1293,3072,58,STONEY CREEK LOCAL
1294,3067,44,RYMAL
1294,3072,58,STONEY CREEK LOCAL
1295,3067,44,RYMAL
1295,3072,58,STONEY CREEK LOCAL
1296,3067,44,RYMAL
1296,3072,58,STONEY CREEK LOCAL
1298,3071,56,CENTENNIAL
1299,3046,7,LOCKE
1300,3045,6,ABERDEEN
1301,3045,6,ABERDEEN
1302,3046,7,LOCKE
1303,3045,6,ABERDEEN
1304,3046,7,LOCKE
1306,3046,7,LOCKE
1307,3062,33,SANATORIUM
1308,3062,33,SANATORIUM
1309,3062,33,SANATORIUM
1311,3062,33,SANATORIUM
1312,3062,33,SANATORIUM
1313_merged_1016399,3064,35,COLLEGE
1315,3064,35,COLLEGE
1316,3064,35,COLLEGE
1317,3064,35,COLLEGE
1318,3064,35,COLLEGE
1319,3064,35,COLLEGE
1320,3040,1,KING
1320,3044,5,DELAWARE
1320,3049,10,B-LINE EXPRESS
1321,3044,5,DELAWARE
1322,3044,5,DELAWARE
1323,3044,5,DELAWARE
1324,3044,5,DELAWARE
1325,3044,5,DELAWARE
1326,3057,23,UPPER GAGE
1326,3058,24,UPPER SHERMAN
1326,3059,25,UPPER WENTWORTH
1327,3057,23,UPPER GAGE
1327,3058,24,UPPER SHERMAN
1328,3057,23,UPPER GAGE
1328,3058,24,UPPER SHERMAN
1329,3059,25,UPPER WENTWORTH
1330,3057,23,UPPER GAGE
1330,3058,24,UPPER SHERMAN
1331,3059,25,UPPER WENTWORTH
1332,3057,23,UPPER GAGE
1332,3058,24,UPPER SHERMAN
1332,3059,25,UPPER WENTWORTH
1333,3057,23,UPPER GAGE
1333,3058,24,UPPER SHERMAN
1334,3059,25,UPPER WENTWORTH
1335,3057,23,UPPER GAGE
1335,3058,24,UPPER SHERMAN
1336,3059,25,UPPER WENTWORTH
1337,3057,23,UPPER GAGE
1337,3058,24,UPPER SHERMAN
1337,3059,25,UPPER WENTWORTH
1338,3057,23,UPPER GAGE
1338,3058,24,UPPER SHERMAN
1339,3057,23,UPPER GAGE
1339,3058,24,UPPER SHERMAN
1340,3057,23,UPPER GAGE
1340,3058,24,UPPER SHERMAN
1342,3057,23,UPPER GAGE
1343,3057,23,UPPER GAGE
1344,3057,23,UPPER GAGE
1345,3057,23,UPPER GAGE
1346,3057,23,UPPER GAGE
1347,3057,23,UPPER GAGE
1347,3058,24,UPPER SHERMAN
1348,3057,23,UPPER GAGE
1349,3057,23,UPPER GAGE
1349,3058,24,UPPER SHERMAN
1350,3057,23,UPPER GAGE
1351,3057,23,UPPER GAGE
1351,3058,24,UPPER SHERMAN
1352,3057,23,UPPER GAGE
1352,3058,24,UPPER SHERMAN
1353,3059,25,UPPER WENTWORTH
1354,3057,23,UPPER GAGE
1354,3058,24,UPPER SHERMAN
1356,3057,23,UPPER GAGE
