stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
43.25,0,,-79.87,1,,,,MacNab Transit Terminal,1,
43.22,0,,-79.76,2,,,,Eastgate Terminal,1,
43.21,0,,-79.86,3,,,,Limeridge Terminal,1,
43.25,0,,-79.91,90,,,MAIN ST W & EMERSON ST,MAIN & EMERSON,0,
43.22,0,,-79.74,318,,,HIGHWAY NO. 8 & GRAY RD,QUEENSTON & GRAY,0,
43.25,0,2939,-79.89,1001,,,ABERDEEN AV & CHEDOKE AV,ABERDEEN at CHEDOKE,0,
43.25,0,2940,-79.89,1002,,,ABERDEEN AV & COTTAGE AV,ABERDEEN at COTTAGE,0,
43.25,0,2952,-79.89,1003,,,ABERDEEN AV & COTTAGE AVENUE OPP,ABERDEEN opposite COTTAGE,0,
43.25,0,2952,-79.89,1004,,,ABERDEEN AV & DUNDURN STREET,ABERDEEN at DUNDURN,0,
43.25,0,2940,-79.89,1005,,,ABERDEEN AV & DUNDURN STREET,ABERDEEN at DUNDURN,0,
43.24,0,2952,-79.88,1006,,,ABERDEEN AV & KENT STREET,ABERDEEN at KENT,0,
43.24,0,2941,-79.88,1007,,,ABERDEEN AV & KENT STREET,ABERDEEN at KENT,0,
43.24,0,2952,-79.88,1008,,,ABERDEEN AV & LOCKE STREET,ABERDEEN at LOCKE,0,
43.25,0,2955,-79.90,1009,,,ABERDEEN AV & LONGWOOD ROAD,ABERDEEN at LONGWOOD,0,
43.25,0,2939,-79.90,1010,,,ABERDEEN AV & LONGWOOD ROAD OPP.,ABERDEEN opposite LONGWOOD,0,
43.25,0,2953,-79.89,1011,,,ABERDEEN AV & CHEDOKE AV,ABERDEEN opposite CHEDOKE,0,
43.24,0,2941,-79.88,1012,,,ABERDEEN AV & SPRUCESIDE AVENUE,ABERDEEN at SPRUCESIDE,0,
43.25,0,2939,-79.89,1013,,,ABERDEEN AV & STUDHOLME AVENUE,ABERDEEN at STUDHOLME,0,
43.25,0,2953,-79.89,1014,,,ABERDEEN AV & STUDHOLME ROAD OPP.,ABERDEEN opposite STUDHOLME,0,
43.24,0,2941,-79.88,1015,,,ABERDEEN AV & UNDERMOUNT AVENUE,ABERDEEN at UNDERMOUNT,0,
43.20,0,2630,-79.98,1017,,,AMBERLY BV & BLOOMSBURY COURT OPP.(@#21),AMBERLY opposite BLOOMSBURY,0,
43.20,0,2632,-79.99,1018,,,AMBERLY BV & CHIPPENDALE AVENUE OPP.(@#265),AMBERLY opposite CHIPPENDALE,0,
43.20,0,2621,-79.99,1019,,,AMBERLY BV & SUNNYMEADE DRIVE (OP. # 257),AMBERLY at SUNNYMEADE,0,
43.20,0,2622,-79.98,1020,,,AMBERLY BV & COTTINGHAM CT (WEST LEG),AMBERLY at COTTINGHAM WEST,0,
43.20,0,2622,-79.98,1021,,,AMBERLY BV & FIDDLER'S GREEN ROAD,AMBERLY at FIDDLERS GREEN,0,
43.20,0,2631,-79.98,1022,,,AMBERLY BV & LEITH COURT,AMBERLY at LEITH COURT,0,
43.20,0,2621,-79.99,1023,,,AMBERLY BV & MELANIE COURT (WEST LEG),AMBERLY at MELANIE WEST,0,
43.20,0,2631,-79.99,1024,,,AMBERLY BV & MELANIE CT (WEST LEG) OP(@#161,AMBERLY opposite MELANIE WEST,0,
43.20,0,2632,-79.99,1025,,,AMBERLY BV & WILSON STREET,AMBERLY at WILSON,0,
43.19,0,2131,-79.82,1026,,,ANCHOR RD & BIGWIN ROAD OPP.,ANCHOR opposite BIGWIN,0,
43.20,0,2624,-79.97,1027,,,ANSON DR & GARNER RD E,ANSON at GARNER,0,
43.24,0,2091,-79.86,1028,,,ARKLEDUN AV & KINGSWAY DR,ARKLEDUN opposite KINGSWAY,0,
43.24,0,2090,-79.86,1029,,,ARKLEDUN AV & KINGSWAY DR,ARKLEDUN opposite KINGSWAY,0,
43.24,0,2028,-79.86,1030,,,ARKLEDUN AV & KINGSWAY DR,ARKLEDUN at KINGSWAY,0,
43.24,0,2020,-79.86,1031,,,ARKLEDUN AV & KINGSWAY DR,ARKLEDUN at KINGSWAY,0,
43.22,0,2541,-79.70,1032,,,ARVIN AV & # 592,At 596 ARVIN,0,
43.22,0,2541,-79.70,1033,,,ARVIN AV & #547 OPP.,At 560 ARVIN,0,
43.22,0,2541,-79.70,1034,,,ARVIN AV & #565 OPP.,At 576 ARVIN,0,
43.22,0,2541,-79.69,1035,,,ARVIN AV & FRUITLAND ROAD,ARVIN at FRUITLAND,0,
43.25,0,2945,-79.87,1036,,,AUGUSTA ST & JAMES STREET,AUGUSTA at JAMES,0,
43.25,0,2945,-79.86,1037,,,AUGUSTA ST & JOHN STREET,AUGUSTA at JOHN,0,
43.23,0,1213,-79.76,1038,,,BARTON ST E & #2434 W CENTENNIAL PKWY.,At 2434 BARTON,0,
43.23,0,1212,-79.75,1040,,,BARTON ST E & W LAKE AVE,At 2553 BARTON,0,
43.23,0,1261,-79.75,1041,,,BARTON ST E & #2553 OPPOSITE,Opposite 2553 BARTON,0,
43.23,0,1262,-79.74,1042,,,BARTON ST E & #2772 W BELL MANOR ST.,At 2772 BARTON,0,
43.24,0,1220,-79.79,1043,,,BARTON ST E & ADELINE AVENUE,BARTON at ADELINE,0,
43.25,0,1250,-79.81,1044,,,BARTON ST E & AGNES STREET,BARTON at AGNES,0,
43.25,0,1245,-79.83,1045,,,BARTON ST E & BARNESDALE AVENUE,BARTON at BARNESDALE,0,
43.25,0,1228,-79.83,1046,,,BARTON ST E & BARNESDALE AVENUE,BARTON at BARNESDALE,0,
43.23,0,1207,-79.74,1047,,,BARTON ST E & BELL MANOR LOOP,BELL MANOR LOOP PLATFORM 1,0,
43.23,0,1207,-79.74,1048,,,BELLMANOR LOOP & BARTON,BELL MANOR LOOP PLATFORM 2,0,
43.25,0,1248,-79.82,1050,,,BARTON ST E & LINCOLN ST OPP.,BARTON opposite LINCOLN,0,
43.25,0,1244,-79.84,1051,,,BARTON ST E & BIRCH AVENUE,BARTON at BIRCH,0,
43.25,0,1229,-79.83,1052,,,BARTON ST E & BIRCH AVENUE,BARTON at BIRCH,0,
43.23,0,1262,-79.74,1053,,,BARTON ST E & BOW VALLEY DRIVE,BARTON at BOW VALLEY,0,
43.23,0,1210,-79.74,1054,,,BARTON ST E & BOW VALLEY DRIVE OPP.,BARTON opposite BOW VALLEY,0,
