route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_boarding,bikes_allowed
3145,1_merged_1028619,1016741,EASTGATE SQUARE,,0,b_418855,19807,1,1
3145,1_merged_1028619,1016742,EASTGATE SQUARE,,0,b_418856,19807,1,1
3145,1_merged_1028619,1016743,EASTGATE SQUARE,,0,b_418857,19807,1,1
3145,1_merged_1028619,1016744,EASTGATE SQUARE,,0,b_418855,19807,1,1
3145,1_merged_1028619,1016745,EASTGATE SQUARE,,0,b_418858,19807,1,1
3145,1_merged_1028619,1016746,EASTGATE SQUARE,,0,b_418859,19807,1,1
3145,1_merged_1028619,1016747,EASTGATE SQUARE,,0,b_418860,19807,1,1
3145,1_merged_1028619,1016748,EASTGATE SQUARE,,0,b_418856,19807,1,1
3145,1_merged_1028619,1016749,EASTGATE SQUARE,,0,b_418861,19807,1,1
3145,1_merged_1028619,1016750,EASTGATE SQUARE,,0,b_418861,19807,1,1
3145,1_merged_1028619,1016751,EASTGATE SQUARE,,0,b_418862,19807,1,1
3145,1_merged_1028619,1016752,EASTGATE SQUARE,,0,b_418863,19807,1,1
3145,1_merged_1028619,1016753,EASTGATE SQUARE,,0,b_418857,19807,1,1
3145,1_merged_1028619,1016754,EASTGATE SQUARE,,0,b_418855,19807,1,1
3145,1_merged_1028619,1016755,EASTGATE SQUARE,,0,b_418864,19807,1,1
3145,1_merged_1028619,1016756,EASTGATE SQUARE,,0,b_418860,19807,1,1
3145,1_merged_1028619,1016757,EASTGATE SQUARE,,0,b_418856,19807,1,1
3145,1_merged_1028619,1016758,EASTGATE SQUARE,,0,b_418865,19807,1,1
3145,1_merged_1028619,1016759,EASTGATE SQUARE,,0,b_418866,19807,1,1
3145,1_merged_1028619,1016760,EASTGATE SQUARE,,0,b_418855,19807,1,1
3145,1_merged_1028619,1016761,EASTGATE SQUARE,,0,b_418858,19807,1,1
3145,1_merged_1028619,1016762,EASTGATE SQUARE,,0,b_418859,19807,1,1
3145,1_merged_1028619,1016763,EASTGATE SQUARE,,0,b_418857,19807,1,1
3145,1_merged_1028619,1016764,EASTGATE SQUARE,,0,b_418855,19807,1,1
3145,1_merged_1028619,1016765,EASTGATE SQUARE,,0,b_418858,19807,1,1
3145,1_merged_1028619,1016766,EASTGATE SQUARE,,0,b_418859,19807,1,1
3145,1_merged_1028619,1016767,EASTGATE SQUARE,,0,b_418860,19807,1,1
3145,1_merged_1028619,1016768,EASTGATE SQUARE,,0,b_418856,19807,1,1
3145,1_merged_1028619,1016769,EASTGATE SQUARE,,0,b_418861,19807,1,1
3145,1_merged_1028619,1016770,EASTGATE SQUARE,,0,b_418863,19807,1,1
